full_text,sentiment
"Cómo es posible afirmar que hay democracia en Colombia cuando estamos realizando elecciones a la presidencia en medio de la guerra contra la población? Como diría la filósofa Hannah Arendt, allí donde comienza la violencia, termina la política
 #ParenLaGuerra",negative
"Lo peor que le puede pasar a Colombia son las elecciones. Sacan lo mas feo de muchas personas, la intolerancia, el individualismo, la manipulación, etc.
 
 Voy a tener que limpiar mi twitter porque ya me cansé. 
 
 No hay cuerpo que lo resista!",negative
"Gracias a los Acuerdos de paz de La Habana en 2018 Colombia tuvo las elecciones más pacíficas de su historia. 
  
  Uribismo nos devolvió a elecciones en medio de guerra, paros armados y violaciones masivas a los ddhh.",neutral
"@Danielacad3 Consejo de un Venezolano que ama a Colombia. No bajen la guardia, el que cuenta los votos @Registraduria es FICHA DEL FORO DE SAO PAULO. Todavía hay vicios de las elecciones pasadas para favorecer al Pacto Histórico y ni pío a dicho el tipo. Pilas pues",negative
"@supershadai @Registraduria Quien o que institución en Colombia atiende los reclamos al fraude electoral?
 Porque no suspender a al registrador que ya la defeco en las elecciones de senado y camara.
 Hay una desconfianza general en cuanto a las presidenciales.
 Están provocando una respuesta violenta.",neutral
"Con la extradición de Otoniel, se llevaron un posible muy apoyado candidato a la Presidencia de Colombia en las próximas elecciones.",neutral
"@roseupe24 @gestupra @PGN_COL @IvanDuque @FiscaliaCol Un robo a las elecciones, a favor de Petro, es casi una declaratoria de guerra civil y catástrofe, para todos. @CNE_COLOMBIA @Registraduria
 @PGN_COL
 @COMANDANTE_EJC @COL_EJERCITO @IvanDuque @mindefensa https://t.co/elAeUTvqhz",negative
"@lafm tremendo informe de la posible corrupción en el fraude del pasado 13 de marzo a la Colombia humana le asignaron 24 mil jurados que si votaron 2 veces cada uno significaría el robo más grande en Colombia, y el registrador intento quitar la huella y la firma de las elecciones",neutral
Robar votos y elecciones parece ser lo que está de moda a nivel mundial y nadie es culpable. Veamos cómo le va a #Colombia,negative
"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
 #TalCual #ClaroyRaspao #AmigosDeNuevo 
 https://t.co/Kpm7VZydwZ https://t.co/xyy0uPwwzZ",neutral
